department,day,population,encounters
""3"",2010-12-31,11776,7533
""3"",2011-01-31,11946,7383
""3"",2011-02-28,12102,5591
""3"",2011-03-31,12298,9324
""3"",2011-04-30,12475,8504
""3"",2011-05-31,12669,9685
""3"",2011-06-30,12849,8918
""3"",2011-07-31,13043,10399
""3"",2011-08-31,13202,10442
""3"",2011-09-30,13381,7945
""3"",2011-10-31,13627,10359
""3"",2011-11-30,13810,11116
""3"",2011-12-31,13920,9453
""3"",2012-01-31,14050,9867
""4"",2006-01-31,25,1
""4"",2006-03-31,27,0
""4"",2006-04-30,25,0
""4"",2006-06-30,28,0
""4"",2006-07-31,26,0
""4"",2006-09-30,30,1
""4"",2006-10-31,27,0
""4"",2006-12-31,29,0
""4"",2007-01-31,37,13
""4"",2007-03-31,65,87
""4"",2007-04-30,74,119
""4"",2007-06-30,163,429
""4"",2007-07-31,213,441
""4"",2007-09-30,312,412
""4"",2007-10-31,348,478
""4"",2007-12-31,435,432
""4"",2008-01-31,474,596
""4"",2008-03-31,536,605
""4"",2008-04-30,568,609
""4"",2008-06-30,666,712
""4"",2008-07-31,722,860
""4"",2008-09-30,836,847
""4"",2008-10-31,853,720
""4"",2008-12-31,949,982
""4"",2009-01-31,991,815
""4"",2009-03-31,1061,863
""4"",2009-04-30,1099,970
""4"",2009-05-31,1151,827
""4"",2009-06-30,1194,773
""4"",2009-07-31,1243,900
""4"",2009-08-31,1293,871
""4"",2009-09-30,1333,904
""4"",2009-10-31,1355,901
""4"",2009-11-30,1380,920
""4"",2009-12-31,1398,522
""4"",2010-01-31,1438,298
""4"",2010-02-28,1450,292
""4"",2010-03-31,1469,477
""4"",2010-04-30,1499,373
""4"",2010-05-31,1528,523
""4"",2010-06-30,1551,536
""4"",2010-07-31,1584,586
""4"",2010-08-31,1606,457
""4"",2010-09-30,1643,487
""4"",2010-10-31,1666,314
""4"",2010-11-30,1689,248
""4"",2010-12-31,1705,217
""4"",2011-01-31,1727,295
""4"",2011-02-28,1755,353
""4"",2011-03-31,1785,376
""4"",2011-04-30,1817,422
""4"",2011-05-31,1849,446
""4"",2011-06-30,1876,361
""4"",2011-07-31,1900,365
""4"",2011-08-31,1932,883
""4"",2011-09-30,1952,712
""4"",2011-10-31,1975,678
""4"",2011-11-30,2007,593
""4"",2011-12-31,2032,851
""4"",2012-01-31,2040,624
""5"",2006-01-31,54,35
""5"",2006-03-31,93,137
""5"",2006-04-30,117,124
""5"",2006-06-30,187,224
""5"",2006-07-31,232,333
""5"",2006-09-30,354,426
""5"",2006-10-31,423,632
""5"",2006-12-31,535,531
""5"",2007-01-31,597,764
""5"",2007-03-31,750,1069
""5"",2007-04-30,823,837
""5"",2007-06-30,952,869
""5"",2007-07-31,1012,1049
""5"",2007-09-30,1136,909
""5"",2007-10-31,1181,966
""5"",2007-12-31,1261,812
""5"",2008-01-31,1329,1177
""5"",2008-03-31,1433,1103
