clinic,status,day,population
11100,4,2009-12-31,77
11100,4,2010-01-31,480
11100,4,2010-02-28,310
11100,4,2010-03-31,235
11100,4,2010-04-30,118
11100,4,2010-05-31,131
11100,4,2010-06-30,84
11100,4,2010-07-31,89
11100,4,2010-08-31,61
11100,4,2010-09-30,62
11100,4,2010-10-31,73
11100,4,2010-11-30,73
11100,4,2010-12-31,83
11100,4,2011-01-31,67
11100,4,2011-02-28,70
11100,4,2011-03-31,84
11100,4,2011-04-30,77
11100,4,2011-05-31,136
11100,4,2011-06-30,209
11100,4,2011-07-31,200
11100,4,2011-08-31,124
11100,4,2011-09-30,246
11100,4,2011-10-31,332
11100,4,2011-11-30,189
11100,4,2011-12-31,189
11100,4,2012-01-31,113
11100,5,2006-04-30,1
11100,5,2006-06-30,3
11100,5,2006-07-31,4
11100,5,2006-09-30,3
11100,5,2006-10-31,4
11100,5,2006-12-31,9
11100,5,2007-01-31,10
11100,5,2007-03-31,16
11100,5,2007-04-30,17
11100,5,2007-06-30,29
11100,5,2007-07-31,42
11100,5,2007-09-30,49
11100,5,2007-10-31,50
11100,5,2007-12-31,111
11100,5,2008-01-31,149
11100,5,2008-03-31,240
11100,5,2008-04-30,271
11100,5,2008-06-30,347
11100,5,2008-07-31,332
11100,5,2008-09-30,340
11100,5,2008-10-31,376
11100,5,2008-12-31,374
11100,5,2009-01-31,314
11100,5,2009-03-31,316
11100,5,2009-04-30,323
11100,5,2009-05-31,356
11100,5,2009-06-30,376
11100,5,2009-07-31,407
11100,5,2009-08-31,411
11100,5,2009-09-30,373
11100,5,2009-10-31,306
11100,5,2009-11-30,258
11100,5,2009-12-31,245
11100,5,2010-01-31,312
11100,5,2010-02-28,528
11100,5,2010-03-31,482
11100,5,2010-04-30,349
11100,5,2010-05-31,275
11100,5,2010-06-30,210
11100,5,2010-07-31,199
11100,5,2010-08-31,204
11100,5,2010-09-30,194
11100,5,2010-10-31,191
11100,5,2010-11-30,195
11100,5,2010-12-31,210
11100,5,2011-01-31,196
11100,5,2011-02-28,179
11100,5,2011-03-31,172
11100,5,2011-04-30,219
11100,5,2011-05-31,265
11100,5,2011-06-30,316
11100,5,2011-07-31,281
11100,5,2011-08-31,219
11100,5,2011-09-30,187
11100,5,2011-10-31,178
11100,5,2011-11-30,188
11100,5,2011-12-31,152
11100,5,2012-01-31,123
11100,6,2006-09-30,10
11100,6,2006-10-31,19
11100,6,2006-12-31,39
11100,6,2007-01-31,46
11100,6,2007-03-31,67
11100,6,2007-04-30,92
11100,6,2007-06-30,120
11100,6,2007-07-31,124
11100,6,2007-09-30,149
11100,6,2007-10-31,151
11100,6,2007-12-31,171
11100,6,2008-01-31,190
11100,6,2008-03-31,171
11100,6,2008-04-30,150
11100,6,2008-06-30,294
11100,6,2008-07-31,371
11100,6,2008-09-30,439
11100,6,2008-10-31,458
11100,6,2008-12-31,508
11100,6,2009-01-31,545
11100,6,2009-03-31,576
11100,6,2009-04-30,614
11100,6,2009-05-31,662
11100,6,2009-06-30,673
11100,6,2009-07-31,726
11100,6,2009-08-31,765
11100,6,2009-09-30,783
11100,6,2009-10-31,806
11100,6,2009-11-30,817
11100,6,2009-12-31,830
11100,6,2010-01-31,442
11100,6,2010-02-28,602
11100,6,2010-03-31,610
11100,6,2010-04-30,748
11100,6,2010-05-31,742
11100,6,2010-06-30,796
11100,6,2010-07-31,792
11100,6,2010-08-31,833
11100,6,2010-09-30,836
11100,6,2010-10-31,845
11100,6,2010-11-30,884
11100,6,2010-12-31,893
11100,6,2011-01-31,937
11100,6,2011-02-28,974
11100,6,2011-03-31,976
11100,6,2011-04-30,1014
11100,6,2011-05-31,978
11100,6,2011-06-30,914
11100,6,2011-07-31,919
11100,6,2011-08-31,974
11100,6,2011-09-30,848
11100,6,2011-10-31,751
11100,6,2011-11-30,904
11100,6,2011-12-31,926
11100,6,2012-01-31,1027
11100,7,2006-01-31,3
11100,7,2006-03-31,22
11100,7,2006-04-30,28
11100,7,2006-06-30,70
11100,7,2006-07-31,88
11100,7,2006-09-30,118
11100,7,2006-10-31,134
11100,7,2006-12-31,168
11100,7,2007-01-31,140
11100,7,2007-03-31,249
11100,7,2007-04-30,302
11100,7,2007-06-30,406
11100,7,2007-07-31,395
11100,7,2007-09-30,544
11100,7,2007-10-31,622
11100,7,2007-12-31,717
11100,7,2008-01-31,706
11100,7,2008-03-31,717
11100,7,2008-04-30,673
11100,7,2008-06-30,657
11100,7,2008-07-31,680
11100,7,2008-09-30,685
11100,7,2008-10-31,697
11100,7,2008-12-31,688
11100,7,2009-01-31,779
11100,7,2009-03-31,874
11100,7,2009-04-30,962
11100,7,2009-05-31,970
11100,7,2009-06-30,936
11100,7,2009-07-31,865
11100,7,2009-08-31,789
11100,7,2009-09-30,761
11100,7,2009-10-31,770
11100,7,2009-11-30,746
11100,7,2009-12-31,730
11100,7,2010-01-31,683
11100,7,2010-02-28,435
11100,7,2010-03-31,394
11100,7,2010-04-30,492
11100,7,2010-05-31,532
11100,7,2010-06-30,564
11100,7,2010-07-31,581
11100,7,2010-08-31,632
11100,7,2010-09-30,627
11100,7,2010-10-31,624
11100,7,2010-11-30,607
11100,7,2010-12-31,554
11100,7,2011-01-31,516
11100,7,2011-02-28,529
11100,7,2011-03-31,517
11100,7,2011-04-30,486
11100,7,2011-05-31,440
11100,7,2011-06-30,387
11100,7,2011-07-31,418
11100,7,2011-08-31,446
11100,7,2011-09-30,424
11100,7,2011-10-31,410
11100,7,2011-11-30,375
11100,7,2011-12-31,409
11100,7,2012-01-31,432
11100,8,2006-01-31,5
11100,8,2006-03-31,5
11100,8,2006-04-30,5
11100,8,2006-06-30,5
11100,8,2006-07-31,5
11100,8,2006-09-30,4
11100,8,2006-10-31,4
11100,8,2006-12-31,4
11100,8,2007-01-31,8
11100,8,2007-03-31,10
11100,8,2007-04-30,12
11100,8,2007-06-30,17
11100,8,2007-07-31,25
11100,8,2007-09-30,33
11100,8,2007-10-31,40
11100,8,2007-12-31,46
11100,8,2008-01-31,48
11100,8,2008-03-31,52
11100,8,2008-04-30,56
11100,8,2008-06-30,64
11100,8,2008-07-31,76
11100,8,2008-09-30,97
11100,8,2008-10-31,103
11100,8,2008-12-31,109
11100,8,2009-01-31,84
11100,8,2009-03-31,105
11100,8,2009-04-30,114
11100,8,2009-05-31,23
11100,8,2009-06-30,20
11100,8,2009-07-31,20
11100,8,2009-08-31,37
11100,8,2009-09-30,45
11100,8,2009-10-31,63
11100,8,2009-11-30,71
11100,8,2009-12-31,78
11100,8,2010-01-31,96
11100,8,2010-02-28,107
11100,8,2010-03-31,180
11100,8,2010-04-30,176
11100,8,2010-05-31,181
11100,8,2010-06-30,187
11100,8,2010-07-31,116
11100,8,2010-08-31,107
11100,8,2010-09-30,114
11100,8,2010-10-31,119
11100,8,2010-11-30,131
11100,8,2010-12-31,142
11100,8,2011-01-31,155
11100,8,2011-02-28,159
11100,8,2011-03-31,177
11100,8,2011-04-30,183
11100,8,2011-05-31,192
11100,8,2011-06-30,210
11100,8,2011-07-31,234
11100,8,2011-08-31,265
11100,8,2011-09-30,275
11100,8,2011-10-31,299
11100,8,2011-11-30,305
11100,8,2011-12-31,322
11100,8,2012-01-31,327
11100,9,2006-06-30,2
11100,9,2006-07-31,3
11100,9,2006-09-30,5
11100,9,2006-10-31,5
11100,9,2006-12-31,21
11100,9,2007-01-31,21
11100,9,2007-03-31,26
11100,9,2007-04-30,46
11100,9,2007-06-30,55
11100,9,2007-07-31,63
11100,9,2007-09-30,70
11100,9,2007-10-31,71
11100,9,2007-12-31,74
11100,9,2008-01-31,74
11100,9,2008-03-31,78
11100,9,2008-04-30,80
11100,9,2008-06-30,85
11100,9,2008-07-31,87
11100,9,2008-09-30,92
11100,9,2008-10-31,96
11100,9,2008-12-31,117
11100,9,2009-01-31,279
11100,9,2009-03-31,319
11100,9,2009-04-30,341
11100,9,2009-05-31,994
11100,9,2009-06-30,1159
11100,9,2009-07-31,1478
11100,9,2009-08-31,1484
11100,9,2009-09-30,1498
11100,9,2009-10-31,1500
11100,9,2009-11-30,1504
11100,9,2009-12-31,1505
11100,9,2010-01-31,1505
11100,9,2010-02-28,1504
11100,9,2010-03-31,1504
11100,9,2010-04-30,1507
11100,9,2010-05-31,1512
11100,9,2010-06-30,1519
11100,9,2010-07-31,1696
11100,9,2010-08-31,1712
11100,9,2010-09-30,1714
11100,9,2010-10-31,1715
11100,9,2010-11-30,1715
11100,9,2010-12-31,1719
11100,9,2011-01-31,1723
11100,9,2011-02-28,1724
11100,9,2011-03-31,1726
11100,9,2011-04-30,1732
11100,9,2011-05-31,1733
11100,9,2011-06-30,1727
11100,9,2011-07-31,1722
11100,9,2011-08-31,1718
11100,9,2011-09-30,1712
11100,9,2011-10-31,1707
11100,9,2011-11-30,1702
11100,9,2011-12-31,1698
11100,9,2012-01-31,1698
11100,10,2006-01-31,79
11100,10,2006-03-31,79
11100,10,2006-04-30,79
11100,10,2006-06-30,78
11100,10,2006-07-31,88
11100,10,2006-09-30,93
11100,10,2006-10-31,95
11100,10,2006-12-31,113
11100,10,2007-01-31,130
11100,10,2007-03-31,143
11100,10,2007-04-30,154
11100,10,2007-06-30,155
11100,10,2007-07-31,172
11100,10,2007-09-30,221
11100,10,2007-10-31,242
11100,10,2007-12-31,285
11100,10,2008-01-31,336
11100,10,2008-03-31,460
11100,10,2008-04-30,528
11100,10,2008-06-30,613
11100,10,2008-07-31,676
11100,10,2008-09-30,810
11100,10,2008-10-31,859
11100,10,2008-12-31,974
11100,10,2009-01-31,895
11100,10,2009-03-31,982
11100,10,2009-04-30,1016
11100,10,2009-05-31,435
11100,10,2009-06-30,344
11100,10,2009-07-31,126
11100,10,2009-08-31,218
11100,10,2009-09-30,313
11100,10,2009-10-31,438
11100,10,2009-11-30,548
11100,10,2009-12-31,630
11100,10,2010-01-31,684
11100,10,2010-02-28,740
11100,10,2010-03-31,820
11100,10,2010-04-30,885
11100,10,2010-05-31,954
11100,10,2010-06-30,1020
11100,10,2010-07-31,879
11100,10,2010-08-31,864
11100,10,2010-09-30,896
11100,10,2010-10-31,935
11100,10,2010-11-30,969
11100,10,2010-12-31,998
11100,10,2011-01-31,1041
11100,10,2011-02-28,1061
11100,10,2011-03-31,1100
11100,10,2011-04-30,1118
11100,10,2011-05-31,1141
11100,10,2011-06-30,1168
11100,10,2011-07-31,1185
11100,10,2011-08-31,1233
11100,10,2011-09-30,1283
11100,10,2011-10-31,1325
11100,10,2011-11-30,1348
11100,10,2011-12-31,1365
11100,10,2012-01-31,1393
11120,1,2009-07-31,1
11120,1,2009-08-31,1
11120,1,2009-09-30,1
11120,1,2009-10-31,1
11120,1,2009-11-30,1
11120,1,2009-12-31,1
11120,1,2010-01-31,4
11120,1,2010-02-28,4
11120,1,2010-03-31,4
11120,1,2010-04-30,5
11120,1,2010-05-31,6
11120,1,2010-06-30,8
11120,1,2010-07-31,8
11120,1,2010-08-31,11
11120,1,2010-09-30,12
11120,1,2010-10-31,12
11120,1,2010-11-30,12
11120,1,2010-12-31,12
11120,1,2011-01-31,14
11120,1,2011-02-28,15
11120,1,2011-03-31,16
11120,1,2011-04-30,16
11120,1,2011-05-31,16
11120,1,2011-06-30,16
11120,1,2011-07-31,17
11120,1,2011-08-31,18
11120,1,2011-09-30,18
11120,1,2011-10-31,19
11120,1,2011-11-30,19
11120,1,2011-12-31,19
11120,1,2012-01-31,19
11120,2,2009-06-30,2
11120,2,2009-08-31,2
11120,2,2009-09-30,2
11120,2,2009-10-31,4
11120,2,2009-11-30,4
11120,2,2009-12-31,4
11120,2,2010-01-31,3
11120,2,2010-02-28,1
11120,2,2010-03-31,5
11120,2,2010-04-30,1
11120,2,2010-05-31,3
11120,2,2010-06-30,4
11120,2,2010-07-31,9
11120,2,2010-08-31,3
11120,2,2010-09-30,6
11120,2,2010-10-31,2
11120,2,2010-11-30,4
11120,2,2010-12-31,5
11120,2,2011-01-31,7
11120,2,2011-02-28,11
11120,2,2011-03-31,3
11120,2,2011-04-30,2
11120,2,2011-05-31,4
11120,2,2011-08-31,2
11120,2,2011-09-30,6
11120,2,2011-10-31,1
11120,2,2011-11-30,3
11120,2,2011-12-31,3
11120,2,2012-01-31,6
11120,3,2007-06-30,1
11120,3,2008-07-31,1
11120,3,2009-04-30,1
11120,3,2009-05-31,4
11120,3,2009-06-30,3
11120,3,2009-07-31,15
11120,3,2009-08-31,8
11120,3,2009-09-30,12
11120,3,2009-10-31,6
11120,3,2009-11-30,12
11120,3,2009-12-31,10
11120,3,2010-01-31,6
11120,3,2010-02-28,8
11120,3,2010-03-31,21
11120,3,2010-04-30,15
11120,3,2010-05-31,27
11120,3,2010-06-30,24
11120,3,2010-07-31,16
11120,3,2010-08-31,15
11120,3,2010-09-30,7
11120,3,2010-10-31,18
11120,3,2010-11-30,16
11120,3,2010-12-31,18
11120,3,2011-01-31,14
11120,3,2011-02-28,17
11120,3,2011-03-31,5
11120,3,2011-04-30,6
11120,3,2011-05-31,37
11120,3,2011-06-30,14
11120,3,2011-07-31,4
11120,3,2011-08-31,8
11120,3,2011-09-30,15
11120,3,2011-10-31,6
11120,3,2011-11-30,16
11120,3,2011-12-31,12
11120,3,2012-01-31,11
11120,4,2009-09-30,1
11120,4,2009-11-30,2
11120,4,2009-12-31,3
11120,4,2010-01-31,3
11120,4,2010-02-28,7
11120,4,2010-03-31,2
11120,4,2010-04-30,2
11120,4,2010-05-31,1
11120,4,2010-06-30,2
11120,4,2010-07-31,2
11120,4,2010-08-31,4
11120,4,2010-09-30,2
11120,4,2010-10-31,6
11120,4,2010-11-30,2
11120,4,2010-12-31,8
11120,4,2011-01-31,4
11120,4,2011-02-28,3
11120,4,2011-03-31,3
11120,4,2011-04-30,6
11120,4,2011-05-31,9
11120,4,2011-06-30,39
11120,4,2011-07-31,56
11120,4,2011-08-31,38
11120,4,2011-09-30,27
11120,4,2011-10-31,29
11120,4,2011-11-30,15
11120,4,2011-12-31,8
11120,4,2012-01-31,33
11120,5,2009-07-31,2
11120,5,2009-08-31,4
11120,5,2009-09-30,4
11120,5,2009-10-31,5
11120,5,2009-11-30,10
11120,5,2009-12-31,11
11120,5,2010-01-31,14
11120,5,2010-02-28,21
11120,5,2010-03-31,20
11120,5,2010-04-30,21
11120,5,2010-05-31,28
11120,5,2010-06-30,21
11120,5,2010-07-31,22
11120,5,2010-08-31,31
11120,5,2010-09-30,32
11120,5,2010-10-31,35
11120,5,2010-11-30,38
11120,5,2010-12-31,43
11120,5,2011-01-31,31
11120,5,2011-02-28,25
11120,5,2011-03-31,23
11120,5,2011-04-30,33
11120,5,2011-05-31,35
11120,5,2011-06-30,47
11120,5,2011-07-31,68
11120,5,2011-08-31,87
