encounter,day,encounters
19,2012-03-31,11
20,2006-01-31,25
20,2006-02-28,23
20,2006-03-31,49
20,2006-04-30,37
20,2006-05-31,45
20,2006-06-30,51
20,2006-07-31,51
20,2006-08-31,64
20,2006-09-30,61
20,2006-10-31,68
20,2006-11-30,66
20,2006-12-31,67
20,2007-01-31,80
20,2007-02-28,72
20,2007-03-31,97
20,2007-04-30,79
20,2007-05-31,113
20,2007-06-30,124
20,2007-07-31,138
20,2007-08-31,129
20,2007-09-30,131
20,2007-10-31,138
20,2007-11-30,162
20,2007-12-31,156
20,2008-01-31,176
20,2008-02-29,180
20,2008-03-31,198
20,2008-04-30,226
20,2008-05-31,208
20,2008-06-30,246
20,2008-07-31,239
20,2008-08-31,218
20,2008-09-30,268
20,2008-10-31,249
20,2008-11-30,269
20,2008-12-31,269
20,2009-01-31,292
20,2009-02-28,286
20,2009-03-31,320
20,2009-04-30,373
20,2009-05-31,353
20,2009-06-30,432
20,2009-07-31,547
20,2009-08-31,548
20,2009-09-30,563
20,2009-10-31,536
20,2009-11-30,533
20,2009-12-31,590
20,2010-01-31,387
20,2010-02-28,437
20,2010-03-31,535
20,2010-04-30,534
20,2010-05-31,517
20,2010-06-30,526
20,2010-07-31,513
20,2010-08-31,547
20,2010-09-30,544
20,2010-10-31,567
20,2010-11-30,510
20,2010-12-31,489
20,2011-01-31,534
20,2011-02-28,473
20,2011-03-31,627
20,2011-04-30,642
20,2011-05-31,654
20,2011-06-30,606
20,2011-07-31,663
20,2011-08-31,726
20,2011-09-30,633
20,2011-10-31,688
20,2011-11-30,691
20,2011-12-31,758
20,2012-01-31,773
20,2012-02-29,741
20,2012-03-31,78
21,2006-01-31,1
21,2006-02-28,1
21,2006-03-31,2
21,2006-04-30,2
21,2006-05-31,1
21,2006-06-30,1
21,2006-07-31,4
21,2006-08-31,3
21,2006-09-30,4
21,2006-10-31,3
21,2006-11-30,4
21,2006-12-31,7
21,2007-01-31,5
21,2007-02-28,3
21,2007-03-31,7
21,2007-04-30,4
21,2007-05-31,9
21,2007-06-30,4
21,2007-07-31,6
21,2007-08-31,6
21,2007-09-30,18
21,2007-10-31,4
21,2007-11-30,8
21,2007-12-31,13
21,2008-01-31,8
21,2008-02-29,34
21,2008-03-31,14
21,2008-04-30,15
21,2008-05-31,22
21,2008-06-30,16
21,2008-07-31,19
21,2008-08-31,124
21,2008-09-30,24
21,2008-10-31,35
21,2008-11-30,27
21,2008-12-31,27
21,2009-01-31,39
21,2009-02-28,17
21,2009-03-31,48
21,2009-04-30,23
21,2009-05-31,110
21,2009-06-30,63
21,2009-07-31,118
21,2009-08-31,65
21,2009-09-30,82
21,2009-10-31,53
21,2009-11-30,58
21,2009-12-31,58
21,2010-01-31,33
21,2010-02-28,39
21,2010-03-31,42
21,2010-04-30,63
21,2010-05-31,55
21,2010-06-30,63
21,2010-07-31,82
21,2010-08-31,51
21,2010-09-30,96
21,2010-10-31,51
21,2010-11-30,52
21,2010-12-31,62
21,2011-01-31,56
21,2011-02-28,76
21,2011-03-31,82
21,2011-04-30,128
21,2011-05-31,109
21,2011-06-30,59
21,2011-07-31,117
21,2011-08-31,71
21,2011-09-30,50
21,2011-10-31,87
21,2011-11-30,128
21,2011-12-31,72
21,2012-01-31,52
21,2012-02-29,81
21,2012-03-31,9
24,2006-03-31,2
24,2006-06-30,1
24,2006-07-31,1
24,2006-10-31,1
24,2007-03-31,1
24,2007-04-30,1
24,2007-05-31,1
24,2007-07-31,3
24,2007-08-31,2
24,2007-09-30,1
24,2007-10-31,1
24,2007-12-31,1
24,2008-01-31,1
24,2008-02-29,1
24,2008-06-30,2
24,2008-12-31,1
24,2009-02-28,2
24,2009-04-30,1
24,2009-05-31,1
24,2009-07-31,3
24,2009-08-31,17
24,2009-09-30,13
24,2009-10-31,12
24,2009-11-30,25
24,2009-12-31,16
24,2010-01-31,9
24,2010-02-28,19
24,2010-03-31,49
24,2010-04-30,53
24,2010-05-31,45
24,2010-06-30,33
24,2010-07-31,32
24,2010-08-31,43
24,2010-09-30,44
24,2010-10-31,42
24,2010-11-30,35
24,2010-12-31,43
24,2011-01-31,63
24,2011-02-28,112
24,2011-03-31,123
24,2011-04-30,131
24,2011-05-31,549
24,2011-06-30,417
24,2011-07-31,350
24,2011-08-31,362
24,2011-09-30,307
24,2011-10-31,334
24,2011-11-30,241
24,2011-12-31,278
24,2012-01-31,353
24,2012-02-29,339
24,2012-03-31,2
25,2006-03-31,1
25,2006-04-30,4
25,2006-05-31,2
25,2007-08-31,1
25,2007-09-30,1
25,2007-10-31,2
25,2007-11-30,1
25,2008-02-29,1
25,2008-04-30,1
25,2008-05-31,1
25,2008-06-30,1
25,2008-08-31,1
25,2008-09-30,2
25,2009-03-31,1
25,2009-05-31,2
25,2009-06-30,3
25,2009-07-31,7
25,2009-08-31,27
25,2009-09-30,46
25,2009-10-31,68
25,2009-11-30,82
25,2009-12-31,71
25,2010-01-31,40
25,2010-02-28,44
25,2010-03-31,94
25,2010-04-30,108
25,2010-05-31,119
25,2010-06-30,116
25,2010-07-31,121
25,2010-08-31,166
25,2010-09-30,146
25,2010-10-31,145
25,2010-11-30,140
25,2010-12-31,135
25,2011-01-31,135
25,2011-02-28,141
25,2011-03-31,210
25,2011-04-30,260
25,2011-05-31,601
25,2011-06-30,1121
25,2011-07-31,934
25,2011-08-31,871
25,2011-09-30,771
25,2011-10-31,817
25,2011-11-30,707
25,2011-12-31,593
25,2012-01-31,538
25,2012-02-29,430
25,2012-03-31,10
26,2008-12-31,1
26,2009-05-31,1
26,2009-07-31,2
26,2009-09-30,1
26,2009-10-31,1
26,2009-11-30,1
26,2009-12-31,1
26,2010-02-28,1
26,2010-03-31,1
26,2010-05-31,1
26,2010-09-30,3
26,2010-10-31,8
26,2010-11-30,3
26,2010-12-31,5
26,2011-01-31,5
26,2011-02-28,3
26,2011-03-31,4
26,2011-04-30,6
26,2011-05-31,8
26,2011-06-30,17
26,2011-07-31,2
26,2011-08-31,11
26,2011-09-30,13
26,2011-10-31,7
26,2011-11-30,8
26,2011-12-31,18
26,2012-01-31,12
26,2012-02-29,5
27,2010-08-31,5
27,2010-09-30,2
27,2010-10-31,7
27,2010-11-30,5
27,2010-12-31,6
27,2011-01-31,359
27,2011-02-28,245
27,2011-03-31,20
27,2011-04-30,17
27,2011-05-31,62
27,2011-06-30,120
27,2011-07-31,423
27,2011-08-31,326
27,2011-09-30,587
27,2011-10-31,574
27,2011-11-30,662
27,2011-12-31,512
27,2012-01-31,626
27,2012-02-29,346
28,2010-09-30,1
28,2010-10-31,2
28,2010-11-30,2
28,2010-12-31,2
28,2011-01-31,16
28,2011-02-28,21
28,2011-03-31,11
28,2011-04-30,9
28,2011-05-31,17
28,2011-06-30,69
28,2011-07-31,60
28,2011-08-31,72
28,2011-09-30,64
28,2011-10-31,139
28,2011-11-30,140
28,2011-12-31,113
28,2012-01-31,167
28,2012-02-29,82
29,2009-01-31,1
29,2009-10-31,1
29,2010-02-28,1
29,2010-08-31,2
29,2010-09-30,2
29,2010-10-31,3
29,2010-11-30,2
29,2010-12-31,10
29,2011-01-31,31
29,2011-02-28,79
29,2011-03-31,28
29,2011-04-30,17
29,2011-05-31,26
29,2011-06-30,38
29,2011-07-31,63
29,2011-08-31,83
29,2011-09-30,114
29,2011-10-31,119
29,2011-11-30,296
29,2011-12-31,78
29,2012-01-31,130
29,2012-02-29,106
29,2012-03-31,1
30,2011-04-30,1
30,2012-01-31,2
31,2009-07-31,1
31,2009-08-31,1
31,2009-10-31,1
31,2009-11-30,1
31,2010-06-30,2
31,2010-07-31,1
31,2010-12-31,2
31,2011-02-28,3
31,2011-03-31,10
31,2011-04-30,10
31,2011-05-31,10
31,2011-06-30,17
31,2011-07-31,22
31,2011-08-31,26
31,2011-09-30,56
31,2011-10-31,55
31,2011-11-30,100
31,2011-12-31,23
31,2012-01-31,52
31,2012-02-29,32
