encounter,day,encounters
4,2007-08-31,144
4,2007-09-30,151
4,2007-10-31,219
4,2007-11-30,362
4,2007-12-31,503
4,2008-01-31,345
4,2008-02-29,477
4,2008-03-31,587
4,2008-04-30,683
4,2008-05-31,704
4,2008-06-30,887
4,2008-07-31,825
4,2008-08-31,700
4,2008-09-30,557
4,2008-10-31,750
4,2008-11-30,770
4,2008-12-31,793
4,2009-01-31,839
4,2009-02-28,685
4,2009-03-31,758
4,2009-04-30,896
4,2009-05-31,705
4,2009-06-30,845
4,2009-07-31,712
4,2009-08-31,553
4,2009-09-30,868
4,2009-10-31,964
4,2009-11-30,780
4,2009-12-31,797
4,2010-01-31,403
4,2010-02-28,342
4,2010-03-31,774
4,2010-04-30,903
4,2010-05-31,1030
4,2010-06-30,994
4,2010-07-31,1289
4,2010-08-31,1332
4,2010-09-30,1283
4,2010-10-31,1211
4,2010-11-30,1010
4,2010-12-31,1089
4,2011-01-31,1221
4,2011-02-28,900
4,2011-03-31,1132
4,2011-04-30,1158
4,2011-05-31,977
4,2011-06-30,1134
4,2011-07-31,961
4,2011-08-31,1210
4,2011-09-30,1097
4,2011-10-31,1144
4,2011-11-30,1059
4,2011-12-31,1002
4,2012-01-31,1475
4,2012-02-29,1067
4,2012-03-31,9
5,2006-01-31,1105
5,2006-02-28,958
5,2006-03-31,1357
5,2006-04-30,1288
5,2006-05-31,1577
5,2006-06-30,1842
5,2006-07-31,2010
5,2006-08-31,2239
5,2006-09-30,2281
5,2006-10-31,2618
5,2006-11-30,2905
5,2006-12-31,3196
5,2007-01-31,3729
5,2007-02-28,3491
5,2007-03-31,4124
5,2007-04-30,4220
5,2007-05-31,4853
5,2007-06-30,4658
5,2007-07-31,5246
5,2007-08-31,5416
5,2007-09-30,5159
5,2007-10-31,5746
5,2007-11-30,5798
5,2007-12-31,5510
5,2008-01-31,6497
5,2008-02-29,6352
5,2008-03-31,6774
5,2008-04-30,7757
5,2008-05-31,8367
5,2008-06-30,8634
5,2008-07-31,9021
5,2008-08-31,7778
5,2008-09-30,8672
5,2008-10-31,8747
5,2008-11-30,8674
5,2008-12-31,9092
5,2009-01-31,10086
5,2009-02-28,9402
5,2009-03-31,12405
5,2009-04-30,12062
5,2009-05-31,12024
5,2009-06-30,13183
5,2009-07-31,13855
5,2009-08-31,12406
5,2009-09-30,13052
5,2009-10-31,13510
5,2009-11-30,13244
5,2009-12-31,13294
5,2010-01-31,8975
5,2010-02-28,9205
5,2010-03-31,11810
5,2010-04-30,11702
5,2010-05-31,12359
5,2010-06-30,12916
5,2010-07-31,13764
5,2010-08-31,14379
5,2010-09-30,14247
5,2010-10-31,14965
5,2010-11-30,13146
5,2010-12-31,13291
5,2011-01-31,14240
5,2011-02-28,13044
5,2011-03-31,16335
5,2011-04-30,15126
5,2011-05-31,17077
5,2011-06-30,16210
5,2011-07-31,16490
5,2011-08-31,17258
5,2011-09-30,16342
5,2011-10-31,17391
5,2011-11-30,17746
5,2011-12-31,16996
5,2012-01-31,17124
5,2012-02-29,14404
5,2012-03-31,205
6,2006-01-31,837
6,2006-02-28,629
6,2006-03-31,905
6,2006-04-30,784
6,2006-05-31,1118
6,2006-06-30,1325
6,2006-07-31,1401
6,2006-08-31,1467
6,2006-09-30,1401
6,2006-10-31,1380
6,2006-11-30,1665
6,2006-12-31,1429
6,2007-01-31,1800
6,2007-02-28,1706
6,2007-03-31,2090
6,2007-04-30,1962
6,2007-05-31,2279
6,2007-06-30,2031
6,2007-07-31,2282
6,2007-08-31,1715
6,2007-09-30,1906
6,2007-10-31,2101
6,2007-11-30,2153
6,2007-12-31,1993
6,2008-01-31,2444
6,2008-02-29,2682
6,2008-03-31,3006
6,2008-04-30,2837
6,2008-05-31,2795
6,2008-06-30,3171
6,2008-07-31,3126
6,2008-08-31,2512
6,2008-09-30,2757
6,2008-10-31,2979
6,2008-11-30,2712
6,2008-12-31,3073
6,2009-01-31,3593
6,2009-02-28,3108
6,2009-03-31,4243
6,2009-04-30,3877
6,2009-05-31,3688
6,2009-06-30,3822
6,2009-07-31,3702
6,2009-08-31,3295
6,2009-09-30,3828
6,2009-10-31,3748
6,2009-11-30,3645
6,2009-12-31,3389
6,2010-01-31,2092
6,2010-02-28,2218
6,2010-03-31,4015
6,2010-04-30,3739
6,2010-05-31,3751
6,2010-06-30,3097
6,2010-07-31,3927
6,2010-08-31,3734
6,2010-09-30,4256
6,2010-10-31,3908
6,2010-11-30,2512
6,2010-12-31,2843
6,2011-01-31,4021
6,2011-02-28,4268
6,2011-03-31,4333
6,2011-04-30,4458
6,2011-05-31,4763
6,2011-06-30,4347
6,2011-07-31,4508
6,2011-08-31,4194
6,2011-09-30,3923
6,2011-10-31,3845
6,2011-11-30,4711
6,2011-12-31,4317
6,2012-01-31,4487
6,2012-02-29,3331
6,2012-03-31,22
7,2006-01-31,5
7,2006-02-28,5
7,2006-03-31,34
7,2006-04-30,65
7,2006-05-31,88
7,2006-06-30,41
7,2006-07-31,105
7,2006-08-31,80
7,2006-09-30,105
7,2006-10-31,144
7,2006-11-30,152
7,2006-12-31,117
7,2007-01-31,117
7,2007-02-28,171
7,2007-03-31,141
7,2007-04-30,516
7,2007-05-31,274
7,2007-06-30,188
7,2007-07-31,377
7,2007-08-31,299
7,2007-09-30,303
7,2007-10-31,280
7,2007-11-30,469
7,2007-12-31,307
7,2008-01-31,268
7,2008-02-29,368
