clinic,day,population,encounters
11155,2010-05-31,28,58
11155,2010-06-30,30,33
11155,2010-07-31,32,36
11155,2010-08-31,35,36
11155,2010-09-30,38,35
11155,2010-10-31,39,16
11155,2010-11-30,40,8
11155,2010-12-31,40,14
11155,2011-01-31,43,16
11155,2011-02-28,45,35
11155,2011-03-31,48,17
11155,2011-04-30,51,39
11155,2011-05-31,52,20
11155,2011-06-30,52,29
11155,2011-07-31,52,16
11155,2011-08-31,53,41
11155,2011-09-30,53,27
11155,2011-10-31,53,18
11155,2011-11-30,55,52
11155,2011-12-31,58,10
11155,2012-01-31,59,64
11156,2008-12-31,2,3
11156,2009-01-31,4,14
11156,2009-03-31,6,5
11156,2009-04-30,7,4
11156,2009-05-31,10,10
11156,2009-06-30,20,32
11156,2009-07-31,23,23
11156,2009-08-31,32,49
11156,2009-09-30,42,84
11156,2009-10-31,68,214
11156,2009-11-30,76,143
11156,2009-12-31,80,29
11156,2010-01-31,80,0
11156,2010-02-28,80,0
11156,2010-03-31,80,0
11156,2010-04-30,80,6
11156,2010-05-31,80,0
11156,2010-06-30,80,3
11156,2010-07-31,80,1
11156,2010-08-31,80,7
11156,2010-09-30,80,5
11156,2010-10-31,80,2
11156,2010-11-30,80,23
11156,2010-12-31,91,129
11156,2011-01-31,91,116
11156,2011-02-28,91,141
11156,2011-03-31,92,202
11156,2011-04-30,102,113
11156,2011-05-31,112,155
11156,2011-06-30,118,98
11156,2011-07-31,125,149
11156,2011-08-31,128,86
11156,2011-09-30,128,49
11156,2011-10-31,133,182
11156,2011-11-30,141,191
11156,2011-12-31,150,203
11156,2012-01-31,153,159
11157,2009-06-30,33,105
11157,2009-07-31,73,162
11157,2009-08-31,106,146
11157,2009-09-30,137,140
11157,2009-10-31,154,105
11157,2009-11-30,166,54
11157,2009-12-31,172,28
11157,2010-01-31,172,3
11157,2010-02-28,173,4
11157,2010-03-31,187,139
11157,2010-04-30,198,66
11157,2010-05-31,200,53
11157,2010-06-30,210,75
11157,2010-07-31,217,76
11157,2010-08-31,221,63
11157,2010-09-30,229,94
11157,2010-10-31,238,118
11157,2010-11-30,243,98
11157,2010-12-31,254,123
11157,2011-01-31,275,196
11157,2011-02-28,284,178
11157,2011-03-31,306,227
11157,2011-04-30,334,289
11157,2011-05-31,345,215
11157,2011-06-30,360,273
11157,2011-07-31,377,324
11157,2011-08-31,382,203
11157,2011-09-30,391,160
11157,2011-10-31,412,336
11157,2011-11-30,426,268
11157,2011-12-31,449,335
11157,2012-01-31,450,330
11208,2006-01-31,669,508
11208,2006-03-31,757,551
11208,2006-04-30,812,421
11208,2006-06-30,931,540
11208,2006-07-31,993,580
11208,2006-09-30,1073,459
11208,2006-10-31,1130,628
11208,2006-12-31,1269,989
11208,2007-01-31,1352,896
11208,2007-03-31,1500,1035
11208,2007-04-30,1586,1064
11208,2007-06-30,1748,835
11208,2007-07-31,1844,1316
11208,2007-09-30,2035,1632
11208,2007-10-31,2127,1554
11208,2007-12-31,2273,1343
11208,2008-01-31,2343,1144
11208,2008-03-31,2480,1044
11208,2008-04-30,2557,1320
11208,2008-06-30,2668,1223
11208,2008-07-31,2736,1528
11208,2008-09-30,2879,1312
11208,2008-10-31,2962,1266
11208,2008-12-31,3080,1320
11208,2009-01-31,3105,753
11208,2009-03-31,3231,1581
11208,2009-04-30,3288,1517
11208,2009-05-31,3351,1200
11208,2009-06-30,3409,1612
11208,2009-07-31,3485,1983
11208,2009-08-31,3561,1628
11208,2009-09-30,3632,1709
11208,2009-10-31,3693,1321
11208,2009-11-30,3755,1454
11208,2009-12-31,3802,1713
11208,2010-01-31,3824,437
11208,2010-02-28,3868,657
11208,2010-03-31,3939,1422
11208,2010-04-30,3999,1249
11208,2010-05-31,4055,1374
11208,2010-06-30,4101,1300
11208,2010-07-31,4141,1447
11208,2010-08-31,4191,1702
11208,2010-09-30,4227,1767
11208,2010-10-31,4276,1788
11208,2010-11-30,4311,1526
11208,2010-12-31,4346,1684
11208,2011-01-31,4391,2099
11208,2011-02-28,4432,2082
11208,2011-03-31,4483,2362
11208,2011-04-30,4530,2499
11208,2011-05-31,4582,2855
11208,2011-06-30,4633,2498
11208,2011-07-31,4676,2169
11208,2011-08-31,4737,2666
11208,2011-09-30,4806,2488
11208,2011-10-31,4845,2423
11208,2011-11-30,4895,2410
11208,2011-12-31,4937,2635
11208,2012-01-31,5005,2985
11217,2006-01-31,12,1
11217,2006-03-31,14,0
11217,2006-04-30,13,0
11217,2006-06-30,14,0
11217,2006-07-31,13,0
11217,2006-09-30,14,0
11217,2006-10-31,13,0
11217,2006-12-31,14,0
11217,2007-01-31,14,1
11217,2007-03-31,15,1
11217,2007-04-30,16,2
11217,2007-06-30,17,1
11217,2007-07-31,17,0
11217,2007-09-30,41,35
11217,2007-10-31,56,65
11217,2007-12-31,80,100
11217,2008-01-31,99,80
