sex,hiv,day,population
1,1,2011-04-30,41641
1,1,2011-05-31,42350
1,1,2011-06-30,42994
1,1,2011-07-31,43590
1,1,2011-08-31,44122
1,1,2011-09-30,44744
1,1,2011-10-31,45346
1,1,2011-11-30,45941
1,1,2011-12-31,46420
1,1,2012-01-31,46928
2,1,2006-01-31,2082
2,1,2006-03-31,2464
2,1,2006-04-30,2619
2,1,2006-06-30,3147
2,1,2006-07-31,3356
2,1,2006-09-30,3885
2,1,2006-10-31,4070
2,1,2006-12-31,4601
2,1,2007-01-31,4887
2,1,2007-03-31,5608
2,1,2007-04-30,5909
2,1,2007-06-30,6602
2,1,2007-07-31,7026
2,1,2007-09-30,7822
2,1,2007-10-31,8108
2,1,2007-12-31,8810
2,1,2008-01-31,9208
2,1,2008-03-31,9939
2,1,2008-04-30,10330
2,1,2008-06-30,11095
2,1,2008-07-31,11557
2,1,2008-09-30,12466
2,1,2008-10-31,12734
2,1,2008-12-31,13479
2,1,2009-01-31,13937
2,1,2009-03-31,14862
2,1,2009-04-30,15306
2,1,2009-05-31,15712
2,1,2009-06-30,16324
2,1,2009-07-31,16832
2,1,2009-08-31,17230
2,1,2009-09-30,17681
2,1,2009-10-31,18104
2,1,2009-11-30,18476
2,1,2009-12-31,18927
2,1,2010-01-31,19232
2,1,2010-02-28,19496
2,1,2010-03-31,19901
2,1,2010-04-30,20263
2,1,2010-05-31,20617
2,1,2010-06-30,20920
2,1,2010-07-31,21292
2,1,2010-08-31,21661
2,1,2010-09-30,22067
2,1,2010-10-31,22441
2,1,2010-11-30,22713
2,1,2010-12-31,22950
2,1,2011-01-31,23321
2,1,2011-02-28,23661
2,1,2011-03-31,24038
2,1,2011-04-30,24402
2,1,2011-05-31,24794
2,1,2011-06-30,25139
2,1,2011-07-31,25496
2,1,2011-08-31,25829
2,1,2011-09-30,26206
2,1,2011-10-31,26585
2,1,2011-11-30,26984
2,1,2011-12-31,27307
2,1,2012-01-31,27628
