11208,1,1,8,0,2012-06-05,862
11208,1,1,1,0,2012-06-05,177
11156,1,1,,0,2012-06-05,7
11151,1,1,,0,2012-06-05,3
11100,1,,,0,2012-06-05,20
11100,1,,10,0,2012-06-05,2
11100,1,,8,0,2012-06-05,2
11100,1,,7,0,2012-06-05,1
11100,1,2,,0,2012-06-05,70
11100,1,2,10,0,2012-06-05,644
11100,1,2,9,0,2012-06-05,608
11100,1,2,8,0,2012-06-05,497
11100,1,2,7,0,2012-06-05,1
11100,1,2,5,0,2012-06-05,1
11100,1,2,1,0,2012-06-05,145
11100,1,1,,0,2012-06-05,121
11100,1,1,10,0,2012-06-05,1216
11100,1,1,9,0,2012-06-05,1155
11100,1,1,8,0,2012-06-05,739
11100,1,1,8,1,2012-06-05,1
11100,1,1,7,0,2012-06-05,1
11100,1,1,7,1,2012-06-05,1
11100,1,1,6,0,2012-06-05,1
11100,1,1,5,0,2012-06-05,2
11100,1,1,4,0,2012-06-05,2
11100,1,1,1,0,2012-06-05,176
11100,1,0,10,0,2012-06-05,2
